#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 316  8.4 10.4  3.46 13.79  8.63 999 1022.7  13.1  14.4 999.0 99.0 99.00
2007 01 01 01 00 315  9.3 11.9  3.47 14.81  8.59 999 1022.4  13.4  14.4 999.0 99.0 99.00
2007 01 01 02 00 312 10.1 12.8  3.67 12.90  8.26 999 1022.3  12.9  14.4 999.0 99.0 99.00
2007 01 01 03 00 314 10.0 12.4  3.86 13.79  8.36 999 1022.3  13.1  14.3 999.0 99.0 99.00
2007 01 01 04 00 314 11.3 14.0  3.85 13.79  8.28 999 1022.4  12.9  14.3 999.0 99.0 99.00
2007 01 01 05 00 311 11.0 13.8  3.74 13.79  7.72 999 1022.5  12.9  14.3 999.0 99.0 99.00
2007 01 01 06 00 323 11.0 14.8  3.68 13.79  7.83 999 1022.3  13.0  14.3 999.0 99.0 99.00
2007 01 01 07 00 319 12.1 14.8  3.57 13.79  7.37 999 1021.6  12.8  14.2 999.0 99.0 99.00
2007 01 01 08 00 316 11.9 14.6  3.91 12.90  7.68 999 1021.1  12.9  14.2 999.0 99.0 99.00
2007 01 01 09 00 318 11.1 14.7  4.75 13.79  8.61 999 1020.7  12.9  14.2 999.0 99.0 99.00
2007 01 01 10 00 314 13.0 15.7  3.62 13.79  7.42 999 1019.7  12.8  14.2 999.0 99.0 99.00
2007 01 01 11 00 318 12.1 14.5  4.20 13.79  7.92 999 1020.1  12.7  14.2 999.0 99.0 99.00
2007 01 01 12 00 319 12.1 14.4  3.71 13.79  7.41 999 1020.1  12.8  14.2 999.0 99.0 99.00
2007 01 01 13 00 316 13.1 15.3  3.90 12.90  7.38 999 1019.4  12.8  14.1 999.0 99.0 99.00
2007 01 01 14 00 315 13.4 16.0  4.26 13.79  7.56 999 1018.7  12.9  14.1 999.0 99.0 99.00
2007 01 01 15 00 328 10.6 13.7  4.37 13.79  7.82 999 1019.5  13.1  14.1 999.0 99.0 99.00
2007 01 01 16 00 330 10.3 12.5  3.59 13.79  7.40 999 1019.9  13.5  14.2 999.0 99.0 99.00
