#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 316  2.5  3.6  2.51 13.79  8.90 316 1017.6  11.8 999.0 999.0 99.0 99.00
2009 01 01 00 50 313  3.3  4.6  2.47 13.79  8.81 314 1017.4  11.7 999.0 999.0 99.0 99.00
2009 01 01 01 50 322  5.2  6.8  2.37 13.79  8.79 320 1017.6  11.2 999.0 999.0 99.0 99.00
2009 01 01 02 50 321  5.8  7.2  2.22 13.79  8.66 317 1017.8  12.5 999.0 999.0 99.0 99.00
2009 01 01 03 50 332  5.3  6.3  2.41 13.79  8.89 320 1018.0  12.6 999.0 999.0 99.0 99.00
2009 01 01 04 50 346  3.9  4.6  2.35 12.90  8.26 323 1017.9  11.9 999.0 999.0 99.0 99.00
2009 01 01 05 50 337  4.2  5.9  2.41 12.90  8.37 319 1018.3  12.0 999.0 999.0 99.0 99.00
2009 01 01 06 50 331  2.6  4.6  2.40 12.12  8.35 325 1018.3  12.4 999.0 999.0 99.0 99.00
2009 01 01 07 50 328  1.5  2.5  2.48 12.12  8.45 323 1017.7  12.6 999.0 999.0 99.0 99.00
2009 01 01 08 50   8  0.6  1.3  2.49 12.12  8.21 320 1017.3  12.6 999.0 999.0 99.0 99.00
2009 01 01 09 50 308  3.4  4.7  2.23 12.90  8.09 311 1017.6  13.3 999.0 999.0 99.0 99.00
2009 01 01 10 50 324  5.3  6.7  2.22 12.12  7.81 318 1017.4  13.5 999.0 999.0 99.0 99.00
2009 01 01 11 50 324  5.2  6.4  2.24 12.12  7.51 313 1016.9  13.3 999.0 999.0 99.0 99.00
2009 01 01 12 50 321  6.5  7.5  1.98 12.12  6.98 314 1016.8  13.0 999.0 999.0 99.0 99.00
2009 01 01 13 50 348  4.5  5.6  2.10 11.43  7.05 311 1017.1  12.8 999.0 999.0 99.0 99.00
2009 01 01 14 50 345  6.8  8.6  2.12  8.33  6.69 309 1017.7  11.3 999.0 999.0 99.0 99.00
2009 01 01 15 50 341  5.2  7.5  2.08  8.33  6.52 301 1018.3  11.1 999.0 999.0 99.0 99.00
2009 01 01 16 50 342  4.9  6.5  2.18  8.33  6.90 306 1018.5  12.0 999.0 999.0 99.0 99.00
2009 01 01 17 50 349  4.1  5.7  2.22  8.33  6.96 307 1018.9  12.5 999.0 999.0 99.0 99.00
2009 01 01 18 50 345  5.7  7.5  2.26  8.33  6.96 314 1018.6  12.6 999.0 999.0 99.0 99.00
2009 01 01 19 50 328  5.6  7.3  2.14  9.09  6.65 305 1018.0  12.7 999.0 999.0 99.0 99.00
2009 01 01 20 50 325  5.9  7.6  2.16 12.90  6.94 322 1017.0  12.9 999.0 999.0 99.0 99.00
2009 01 01 21 50 322  6.7  8.4  2.32 12.90  6.83 318 1016.3  12.9 999.0 999.0 99.0 99.00
2009 01 01 22 50 319  6.9  8.3  2.22 12.90  6.69 314 1016.1  12.7 999.0 999.0 99.0 99.00
2009 01 01 23 50 320  6.7  8.4  2.21 12.12  6.58 317 1016.0  12.7 999.0 999.0 99.0 99.00
2009 01 02 00 50 325  5.4  6.9  2.03  8.33  6.48 316 1015.7  12.5 999.0 999.0 99.0 99.00
2009 01 02 01 50 319  5.8  7.5  2.14 12.12  6.89 316 1015.8  12.6 999.0 999.0 99.0 99.00
2009 01 02 02 50 309  5.5  7.1  1.96  7.69  6.47 318 1015.8  12.6 999.0 999.0 99.0 99.00
2009 01 02 03 50 300  5.7  6.9  1.78 12.12  6.58 311 1015.9  12.5 999.0 999.0 99.0 99.00
2009 01 02 04 50 306  5.0  6.4  1.91 12.12  6.65 319 1016.2  12.4 999.0 999.0 99.0 99.00
2009 01 02 05 50 297  4.9  6.5  1.78 12.12  6.50 311 1016.0  12.4 999.0 999.0 99.0 99.00
2009 01 02 06 50 297  5.5  7.0  1.79 12.12  6.55 307 1016.0  12.5 999.0 999.0 99.0 99.00
2009 01 02 07 50 297  5.5  6.6  1.88 11.43  6.82 308 1015.8  12.5 999.0 999.0 99.0 99.00
2009 01 02 08 50 308  4.7  5.9  1.78 12.12  6.65 317 1015.5  12.3 999.0 999.0 99.0 99.00
2009 01 02 09 50 326  4.3  6.1  1.90 12.12  7.06 314 1015.4  12.1 999.0 999.0 99.0 99.00
2009 01 02 10 50 303  4.5  6.4  1.85 12.12  6.99 314 1015.3  12.0 999.0 999.0 99.0 99.00
2009 01 02 11 50 303  4.4  5.4  1.76 12.12  6.79 313 1015.0  12.4 999.0 999.0 99.0 99.00
2009 01 02 12 50 307  5.2  6.7  1.97 11.43  6.83 312 1014.8  12.4 999.0 999.0 99.0 99.00
2009 01 02 13 50 315  5.7  7.2  1.76 12.12  6.84 308 1014.9  12.6 999.0 999.0 99.0 99.00
2009 01 02 14 50 304  6.4  8.1  1.84 10.81  6.74 304 1015.0  12.6 999.0 999.0 99.0 99.00
2009 01 02 15 50 316  7.0  8.9  1.87 11.43  6.62 311 1015.2  12.9 999.0 999.0 99.0 99.00
