YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 236  8.6 10.1  3.50 13.79  8.44 254  990.8  10.7  10.6   8.0 99.0 99.00
2006 01 01 01 00 240  9.0 11.6  3.73 12.90  8.50 248  992.3  10.7  10.6   8.1 99.0 99.00
2006 01 01 02 00 235  8.7 10.6  4.01 12.12  8.32 253  993.4  10.7  10.6   8.2 99.0 99.00
2006 01 01 03 00 229  7.2  9.0  3.90 12.90  8.20 251  994.2  10.7  10.5   8.1 99.0 99.00
2006 01 01 05 00 194  7.9 10.3  4.07 12.12  7.92 248  994.9  10.5  10.5   8.1 99.0 99.00
2006 01 01 06 00 182  9.9 12.2  4.47 12.12  8.17 276  994.9  10.6  10.5   8.3 99.0 99.00
2006 01 08 17 00 197  6.6  8.3  4.53 12.12  8.86 263 9999.0   9.6  10.3   8.0 99.0 99.00
2006 01 08 18 00 206  8.6 10.6  4.68 12.12  8.89 266 9999.0   9.5  10.3   8.3 99.0 99.00
2006 01 08 19 00 181  9.2 10.8  4.83 12.12  8.63 256 9999.0   9.8  10.3   8.5 99.0 99.00
2006 01 08 20 00 181  9.6 11.6  4.82 12.90  8.52 256 9999.0  10.1  10.3   8.6 99.0 99.00
2006 01 08 21 00 192 11.0 13.6  4.34 11.43  7.83 251 9999.0  10.4  10.3   8.9 99.0 99.00
2006 01 08 22 00 186 11.1 12.5  3.96 11.43  7.65 264 9999.0  10.5  10.3   8.8 99.0 99.00
2006 01 08 23 00 186 10.9 13.6  3.90 12.12  7.56 269 9999.0  10.8  10.3   8.7 99.0 99.00
2006 01 09 00 00 183 10.3 12.5  3.85 13.79  7.40 266 9999.0  10.8  10.3   9.0 99.0 99.00
2006 01 09 01 00 183 11.6 14.8  3.49 12.90  7.09 254 9999.0  10.8  10.3   9.0 99.0 99.00
2006 01 09 02 00 187 13.5 17.4  3.70 11.43  7.10 264 9999.0  10.7  10.3   9.0 99.0 99.00
2006 01 09 03 00 183 14.0 17.9  3.61 12.90  6.71 283 9999.0  10.6  10.3   9.1 99.0 99.00
2006 01 09 04 00 182 14.7 18.2  3.92  6.67  6.60 196 9999.0  10.7  10.3   9.1 99.0 99.00
