#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00  21 10.3 12.7  2.12  9.09  5.14 104 1019.2  21.2  22.9  11.6 99.0 99.00
2007 01 01 01 00  20  9.4 11.0  2.10  9.09  5.12 105 1020.0  21.1  22.9  12.5 99.0 99.00
2007 01 01 02 00  20  9.9 11.8  1.93  8.33  5.09 118 1020.5  21.0  22.9  13.4 99.0 99.00
2007 01 01 03 00  23  9.4 11.6  2.12  8.33  5.23 110 1021.2  20.8  22.9  13.3 99.0 99.00
2007 01 01 04 00  26  8.9 10.3  1.95  8.33  5.23 111 1021.4  21.0  22.9  11.8 99.0 99.00
2007 01 01 05 00  28  8.0  9.8  1.83  8.33  5.28 104 1021.3  20.9  22.9  12.3 99.0 99.00
2007 01 01 06 00  11  7.1  8.9  1.73  8.33  5.28 103 1021.6  20.8  22.8  12.1 99.0 99.00
2007 01 01 07 00 358  7.6  9.4  1.69  8.33  5.22 106 1021.5  20.7  22.8  11.0 99.0 99.00
2007 01 01 08 00 350  6.7  8.9  1.54  7.69  5.22 111 1021.9  20.4  22.8  11.5 99.0 99.00
2007 01 01 09 00 347  9.1 10.6  1.57  7.69  5.21  94 1021.3  20.1  22.8  12.1 99.0 99.00
2007 01 01 10 00 347  9.4 10.8  1.53  7.69  5.11  98 1020.9  19.7  22.8  12.7 99.0 99.00
2007 01 01 11 00 344 10.2 12.5  1.54  8.33  5.07 101 1020.5  19.6  22.8  13.6 99.0 99.00
2007 01 01 12 00 345  8.8 12.2  1.50  7.14  4.89  90 1021.1  19.5  22.8  13.5 99.0 99.00
2007 01 01 13 00 350  8.9 11.0  1.52  7.14  4.92  86 1021.6  19.7  22.8  12.6 99.0 99.00
2007 01 01 14 00 348  8.2 10.3  1.39  7.69  4.78 103 1022.5  19.7  22.8  12.3 99.0 99.00
2007 01 01 15 00   1  8.8 11.0  1.40  5.56  4.67  37 1023.2  19.6  22.8  12.3 99.0 99.00
2007 01 01 16 00 357  9.2 11.5  1.39  8.33  4.85 111 1023.5  19.3  22.8  12.8 99.0 99.00
2007 01 01 17 00   3  8.0 10.0  1.44  6.67  4.66  72 1024.1  18.9  22.9  12.3 99.0 99.00
2007 01 01 18 00   0  7.6  9.7  1.40  5.00  4.61  12 1023.4  18.7  22.9  11.8 99.0 99.00
2007 01 01 19 00   6  8.7 10.6  1.43  7.69  4.79  97 1022.4  18.3  23.0  12.0 99.0 99.00
2007 01 01 20 00   6  8.7 11.3  1.56  7.14  4.75  98 1021.8  18.1  23.0  12.0 99.0 99.00
2007 01 01 21 00   0  7.8  9.8  1.40  6.25  4.47  77 1021.8  17.9  23.0  11.7 99.0 99.00
2007 01 01 22 00 358  8.4 10.9  1.47  7.69  4.73  96 1021.8  18.0  22.9  12.5 99.0 99.00
2007 01 01 23 00  15  7.6  9.4  1.39  7.69  4.58 115 1022.2  17.6  22.8  11.8 99.0 99.00
2007 01 02 00 00  15  7.6  9.4  1.46  5.26  4.70  21 1022.4  17.6  22.8  12.1 99.0 99.00
2007 01 02 01 00  18  6.9  8.8  1.47  6.67  4.69  70 1022.7  17.5  22.7  12.4 99.0 99.00
2007 01 02 02 00  17  6.2  7.9  1.39  5.88  4.74  34 1023.2  17.5  22.7  12.3 99.0 99.00
2007 01 02 03 00  29  5.6  7.9  1.34  6.25  4.70  40 1023.4  17.7  22.6  12.0 99.0 99.00
2007 01 02 04 00  37  6.3  7.9  1.27  5.88  4.79  25 1023.1  17.6  22.5  11.9 99.0 99.00
2007 01 02 05 00  34  6.6  8.6  1.41  6.67  4.93  51 1022.8  17.6  22.4  11.9 99.0 99.00
2007 01 02 06 00  45  5.5  7.5  1.39  6.25  4.87  32 1022.9  17.6  22.2  12.1 99.0 99.00
2007 01 02 07 00  29  1.9  4.1  1.25  6.25  4.89  37 1022.9  17.7  22.1  12.4 99.0 99.00
2007 01 02 08 00  76  3.1  4.5  1.27  6.67  5.06  47 1022.7  17.7  22.0  11.8 99.0 99.00
2007 01 02 09 00  35  6.3  7.7  1.19  6.25  5.02  23 1021.6  17.8  22.0  12.5 99.0 99.00
2007 01 02 10 00  46  7.4  9.8  1.16  6.25  5.02  42 1021.2  18.1  22.0  12.5 99.0 99.00
2007 01 02 11 00  55  5.6  7.6  1.12  6.67  4.65  46 1021.6  18.1  22.0  12.3 99.0 99.00
2007 01 02 12 00  51  5.5  7.4  1.16  6.67  4.81  36 1021.8  18.2  22.0  12.9 99.0 99.00
2007 01 02 13 00  40  4.9  6.5  1.14  6.67  4.93  56 1022.1  18.4  22.2  12.6 99.0 99.00
2007 01 02 14 00  36  4.9  6.7  1.10  6.67  4.88  22 1022.9  18.5  22.3  12.6 99.0 99.00
2007 01 02 15 00  31  5.4  7.9  0.98  6.67  4.84  30 1023.3  18.8  22.3  13.1 99.0 99.00
2007 01 02 16 00  53  5.3  6.7  0.94  6.67  4.63  55 1023.9  19.0  22.3  13.2 99.0 99.00
2007 01 02 17 00  52  5.4  6.7  0.98  6.25  4.81  19 1024.1  19.2  22.2  13.2 99.0 99.00
2007 01 02 18 00  47  5.6  6.6  0.92  6.25  4.70  42 1023.1  19.1  22.2  13.8 99.0 99.00
2007 01 02 19 00  48  6.4  7.6  0.82  5.56  4.49  31 1021.7  19.2  22.2  13.9 99.0 99.00
2007 01 02 20 00  38  6.1  8.0  0.84  5.88  4.26  52 1021.1  19.4  22.3  14.1 99.0 99.00
2007 01 02 21 00  63  6.8  8.3  0.86  5.56  4.45  37 1021.2  19.6  22.3  14.5 99.0 99.00
2007 01 02 22 00  65  6.7  8.5  0.88  7.14  4.31 105 1021.1  20.1  22.3  15.2 99.0 99.00
2007 01 02 23 00  55  6.9  8.2  0.88  6.67  4.21 105 1021.3  20.3  22.2  15.6 99.0 99.00
2007 01 03 00 00  59  6.5  7.7  0.85  5.56  4.14  83 1021.5  20.6  22.1  16.1 99.0 99.00
2007 01 03 01 00  72  7.6  9.3  0.95  5.56  4.25  92 1021.3  20.4  22.1  17.5 99.0 99.00
2007 01 03 02 00  67  8.9 10.6  1.04  4.55  4.17  70 1021.2  20.3  22.2  17.8 99.0 99.00
2007 01 03 03 00  67  9.4 11.2  1.12  4.35  4.33  89 1021.2  19.8  22.2  17.7 99.0 99.00
2007 01 03 04 00  70  9.0 11.0  1.16  4.76  4.25  79 1021.7  20.0  22.2  18.7 99.0 99.00
2007 01 03 05 00  71  9.0 10.5  1.27  5.26  4.49  69 1021.6  20.0  22.2  18.4 99.0 99.00
2007 01 03 06 00  78  8.8 10.3  1.29  5.00  4.52  70 1021.3  20.1  22.2  19.0 99.0 99.00
2007 01 03 07 00  77  8.1  9.8  1.16  5.88  4.40  91 1020.9  20.3  22.2  19.7 99.0 99.00
2007 01 03 08 00  78  8.0  9.5  1.30  5.26  4.64  73 1020.3  20.9  22.2  19.4 99.0 99.00
2007 01 03 09 00  71  6.7  7.8  1.30  5.56  4.64  75 1020.7  21.1  22.2  19.9 99.0 99.00
2007 01 03 10 00  69  7.3  8.5  1.23  6.25  4.71  80 1020.1  21.0  22.3  20.4 99.0 99.00
2007 01 03 11 00  74  7.9  9.4  1.19  5.56  4.61  60 1020.1  20.9  22.2  20.8 99.0 99.00
2007 01 03 12 00  77  7.7  8.9  1.22  5.56  4.74  60 1020.3  20.9  22.2  20.9 99.0 99.00
2007 01 03 13 00  75  9.8 11.3  1.21  5.56  4.60  47 1019.9  21.1  22.2  21.1 99.0 99.00
2007 01 03 14 00  70  9.6 11.1  1.25  5.88  4.61  65 1020.3  21.5  22.2  20.7 99.0 99.00
2007 01 03 15 00  76  9.9 11.7  1.31  5.56  4.61  52 1021.0  22.0  22.3  21.1 99.0 99.00
2007 01 03 16 00  82  9.4 11.2  1.37  5.88  4.70  73 1021.0  22.4  22.3  20.8 99.0 99.00
2007 01 03 17 00  83  9.7 11.8  1.50  6.25  4.86  76 1020.9  22.5  22.3  21.5 99.0 99.00
2007 01 03 18 00  86  8.5 10.7  1.47  6.25  4.82  79 1020.1  22.6  22.4  21.9 99.0 99.00
2007 01 03 19 00  78  9.7 12.7  1.42  5.56  4.75  81 1018.3  22.8  22.4  22.0 99.0 99.00
2007 01 03 20 00  81 10.0 12.2  1.76  5.88  5.08  77 1017.5  22.8  22.4  22.2 99.0 99.00
2007 01 03 21 00  79  9.2 11.4  1.76  5.88  5.10  70 1017.3  22.8  22.4  22.5 99.0 99.00
2007 01 03 22 00  82 10.4 12.1  1.78  6.25  5.07  91 1016.4  22.9  22.4  22.8 99.0 99.00
2007 01 03 23 00  82  9.1 11.9  1.82  5.88  5.16  83 1017.0  23.0  22.4  23.0 99.0 99.00
2007 01 04 00 00  82  9.0 10.2  1.83  6.25  5.15  73 1016.9  23.0  22.4  23.0 99.0 99.00
2007 01 04 01 00  79  6.0  7.5  1.83  6.67  5.30  93 1017.1  23.1  22.4  23.1 99.0 99.00
2007 01 04 02 00  94  8.2 10.2  1.85  6.67  5.44  86 1017.1  23.1  22.4  23.1 99.0 99.00
2007 01 04 03 00  93  7.2  8.2  1.94  6.67  5.44  96 1016.9  23.2  22.4  23.2 99.0 99.00
2007 01 04 04 00 109  7.7  9.1  1.88  6.67  5.52  73 1016.7  23.5  22.4  23.5 99.0 99.00
2007 01 04 05 00 115  7.9  9.1  2.02  7.14  5.71  76 1016.4  23.6  22.4  23.6 99.0 99.00
2007 01 04 06 00 128  7.4  8.9  1.92  7.14  5.35  76 1015.5  23.5  22.4  23.5 99.0 99.00
2007 01 04 07 00 137  9.5 10.9  1.87  7.14  5.41  66 1014.7  23.6  22.4  23.6 99.0 99.00
2007 01 04 08 00 136  8.3  9.6  1.87  6.67  5.22  53 1014.6  23.6  22.3  23.6 99.0 99.00
2007 01 04 09 00 141  7.2  8.7  1.66  6.67  5.18  61 1014.4  23.6  22.2  23.6 99.0 99.00
2007 01 04 10 00 146  7.0  8.2  1.75  6.67  5.17  57 1014.0  23.6  22.1  23.6 99.0 99.00
2007 01 04 11 00 149  7.6  8.7  1.52  6.67  5.09  61 1013.4  23.5  22.0  23.5 99.0 99.00
2007 01 04 12 00 153  7.1  8.1  1.72  7.69  5.43  81 1013.0  23.4  21.9  23.4 99.0 99.00
2007 01 04 13 00 160  7.1  8.1  1.66  7.14  5.35  73 1012.9  23.5  21.9  23.5 99.0 99.00
2007 01 04 14 00 162  8.3  9.6  1.73  7.14  5.40  66 1012.7  23.6  21.9  23.6 99.0 99.00
2007 01 04 15 00 173  9.4 11.0  1.54  7.14  5.05  78 1013.4  23.8  21.9  23.8 99.0 99.00
2007 01 04 16 00 194  7.2  8.5  1.66  7.69  5.18  70 1014.1  23.5  22.0  23.5 99.0 99.00
2007 01 04 17 00 253  3.2  4.8  1.61  7.14  5.23  79 1013.8  22.3  22.0  22.3 99.0 99.00
2007 01 04 18 00 262  7.3 11.3  1.83  7.69  5.32  65 1013.0  22.2  22.1  22.1 99.0 99.00
2007 01 04 19 00 300  6.3  8.1  1.95  7.14  5.31  84 1011.8  21.1  22.1  21.1 99.0 99.00
2007 01 04 20 00 302  5.9  8.1  1.98  7.69  5.41  83 1011.2  20.9  22.1  20.9 99.0 99.00
