#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 07 21 50 999  3.6  4.5  0.32  5.00  4.10  42 1009.3  20.7  23.3 999.0 99.0 99.00
2011 01 07 22 50 999  3.8  5.4  0.31  4.76  4.12 999 1009.2  21.0  23.2 999.0 99.0 99.00
2011 01 07 23 50 999  4.3  5.3  0.29  4.35  3.99 999 1009.0  20.8  23.0 999.0 99.0 99.00
2011 01 08 00 50 999  3.7  4.9 99.00 99.00 99.00 999 1009.3  21.1  22.9 999.0 99.0 99.00
2011 01 08 01 50 999  3.8  5.6 99.00 99.00 99.00 999 1009.6  21.2  22.9 999.0 99.0 99.00
2011 01 08 03 50 999  4.7  5.6 99.00 99.00 99.00 999 1010.0  21.4  23.0 999.0 99.0 99.00
2011 01 08 04 50 999  4.6  6.3 99.00 99.00 99.00 999 9999.0  21.5  23.1 999.0 99.0 99.00
2011 01 08 06 50 999  4.7  5.3 99.00 99.00 99.00 999 1009.4  21.5  23.1 999.0 99.0 99.00
2011 01 08 09 50 999  1.3  2.0 99.00 99.00 99.00 999 1009.5  21.5  22.9 999.0 99.0 99.00
2011 01 08 10 50 999  2.7  3.7 99.00 99.00 99.00 999 1009.1  21.5  22.9 999.0 99.0 99.00
2011 01 08 13 50 999  2.9  3.8 99.00 99.00 99.00 999 1010.6  22.0  22.6 999.0 99.0 99.00
2011 01 08 14 50 999  2.9  3.5 99.00 99.00 99.00 999 1011.3  22.2  22.6 999.0 99.0 99.00
2011 01 08 15 50 999  3.7  4.6  0.43  4.00  3.66 999 1011.6  22.4  22.5 999.0 99.0 99.00
2011 01 08 17 50 999  3.8  4.5 99.00 99.00 99.00 999 1010.3  22.5  22.6 999.0 99.0 99.00
2011 01 08 18 50 999  4.9  5.7 99.00 99.00 99.00 999 1009.1  22.0  22.9 999.0 99.0 99.00
2011 01 08 19 50 999  5.0  5.9 99.00 99.00 99.00 999 1008.7  22.1  22.9 999.0 99.0 99.00
2011 01 08 21 50 999  6.5  7.7 99.00 99.00 99.00 999 1008.2  21.7  23.0 999.0 99.0 99.00
2011 01 08 22 50 999 99.0 99.0  0.50  3.33  3.44 114 9999.0  21.6 999.0 999.0 99.0 99.00
2011 01 08 23 50 999  7.1  8.5  0.59  3.70  3.56 999 1008.3  21.7  23.0 999.0 99.0 99.00
2011 01 09 00 50 999  7.9 10.0 99.00 99.00 99.00 999 1008.3  21.7  22.9 999.0 99.0 99.00
2011 01 09 01 50 999  9.1 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 01 09 04 50 999 10.3 12.1 99.00 99.00 99.00 999 1008.4  21.5  22.4 999.0 99.0 99.00
2011 01 09 05 50 999 10.0 11.5 99.00 99.00 99.00 999 1008.0  21.5  22.4 999.0 99.0 99.00
2011 01 09 06 50 999 10.4 11.8 99.00 99.00 99.00 999 1007.2  21.6  22.3 999.0 99.0 99.00
2011 01 09 08 50 999 11.3 99.0 99.00 99.00 99.00 999 1005.8  21.9 999.0 999.0 99.0 99.00
2011 01 09 10 50 999 12.0 14.3 99.00 99.00 99.00 999 1004.8  22.0  22.4 999.0 99.0 99.00
2011 01 09 11 50 999 13.4 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2011 01 09 14 50 999 12.5 14.5 99.00 99.00 99.00 999 1005.8  22.8  22.6 999.0 99.0 99.00
2011 01 09 15 50 999 11.7 13.9 99.00 99.00 99.00 999 1005.9  23.1 999.0 999.0 99.0 99.00
2011 01 09 16 50 999  7.8  9.5 99.00 99.00 99.00 999 1008.0  23.3  22.6 999.0 99.0 99.00
2011 01 09 17 50 999  7.4  8.9 99.00 99.00 99.00 999 9999.0  23.3  22.4 999.0 99.0 99.00
2011 01 09 18 50 999  7.5  8.9 99.00 99.00 99.00 999 1006.7  23.2  22.6 999.0 99.0 99.00
